name,school,conference,position,height,weight,pts,reb,ast,stl,blk,to,min,gp,fg_pct,three_pct,ft_pct,year_label
Jared Garcia,Nebraska,Big Ten,PF,6-8,245,3.1,2.0,0.4,0.1,0.5,0.5,8.3,21,0.339,0.188,0.792,Sr
Pryce Sandfort,Nebraska,Big Ten,PF,6-7,215,17.5,4.6,1.9,1.0,0.3,0.7,32.4,25,0.469,0.402,0.836,Jr
Rienk Mast,Nebraska,Big Ten,PF,6-10,250,14.3,6.1,3.2,0.5,0.3,1.8,28.5,24,0.458,0.336,0.813,Sr
Sam Hoiberg,Nebraska,Big Ten,PG,6-0,185,9.6,5.3,4.4,2.1,0.1,0.8,31.5,25,0.544,0.419,0.721,Sr
Will Cooper,Nebraska,Big Ten,SF,6-6,210,5.3,1.8,0.4,0.1,0.4,1.2,15.2,21,0.451,0.377,0.818,So
Caleb Wilson,North Carolina,ACC,PF,6-10,215,19.8,9.4,2.7,1.5,1.4,2.0,31.3,24,0.578,0.259,0.713,Fr
Derek Dixon,North Carolina,ACC,SG,6-5,200,5.6,2.3,2.7,0.3,0.0,1.2,20.2,25,0.352,0.378,0.815,Fr
Henri Veesaar,North Carolina,ACC,C,7-0,225,16.4,9.0,2.0,0.6,1.2,1.5,31.0,24,0.615,0.448,0.621,Jr
Jarin Stevenson,North Carolina,ACC,PF,6-10,215,7.6,3.6,0.9,0.6,0.5,0.7,23.7,25,0.477,0.308,0.77,Jr
Jonathan Powell,North Carolina,ACC,SG,6-6,190,4.8,2.2,0.9,0.5,0.1,0.3,16.0,25,0.398,0.363,0.421,So
Kyan Evans,North Carolina,ACC,PG,6-2,175,4.8,1.3,2.9,0.6,0.0,1.2,19.6,25,0.336,0.305,0.636,Jr
Luka Bogavac,North Carolina,ACC,SG,6-6,215,9.8,2.4,2.4,0.4,0.0,1.0,23.6,25,0.404,0.345,0.764,Fr
Seth Trimble,North Carolina,ACC,SG,6-3,200,13.9,3.8,2.4,1.3,0.3,1.3,31.3,16,0.465,0.326,0.721,Sr
Angelo Ciaravino,Northwestern,Big Ten,SG,6-6,195,6.3,3.7,1.3,0.4,0.6,0.4,21.4,25,0.52,0.229,0.567,So
Arrinten Page,Northwestern,Big Ten,PF,6-11,245,10.7,4.6,1.9,0.8,1.1,1.1,22.7,25,0.551,0.231,0.655,Jr
Jake West,Northwestern,Big Ten,SG,6-3,170,4.1,0.7,2.7,0.6,0.2,0.9,19.0,26,0.373,0.327,0.737,Fr
Jayden Reid,Northwestern,Big Ten,PG,5-10,160,10.4,1.5,4.9,0.8,0.1,1.7,24.8,26,0.395,0.329,0.835,Jr
Jordan Clayton,Northwestern,Big Ten,PG,6-2,185,2.7,1.7,1.2,0.3,0.2,0.4,17.6,23,0.308,0.315,0.556,Jr
Justin Mullins,Northwestern,Big Ten,SG,6-6,200,3.5,1.6,0.8,0.5,0.3,0.6,13.1,19,0.52,0.333,0.375,Sr
K.J. Windham,Northwestern,Big Ten,SG,6-3,190,3.8,1.4,1.2,0.5,0.1,0.2,13.3,13,0.333,0.343,1.0,So
Max Green,Northwestern,Big Ten,SG,6-6,190,4.3,1.8,1.0,0.7,0.1,0.3,14.7,23,0.37,0.338,0.6,So
Nick Martinelli,Northwestern,Big Ten,PF,6-7,225,22.1,6.4,1.6,0.6,0.4,1.5,34.7,25,0.5,0.43,0.805,Sr
Tre Singleton,Northwestern,Big Ten,PF,6-8,215,8.1,5.0,1.5,0.5,0.7,1.2,25.0,26,0.472,0.167,0.732,Fr
Tyler Kropp,Northwestern,Big Ten,PF,6-9,230,3.2,2.1,0.2,0.3,0.3,0.4,11.4,23,0.433,0.222,0.952,Fr
Brady Koehler,Notre Dame,ACC,PF,6-10,205,5.2,3.0,0.3,0.7,0.7,0.8,15.1,25,0.457,0.39,0.711,Fr
Braeden Shrewsberry,Notre Dame,ACC,SG,6-4,205,12.3,2.8,1.9,0.4,0.2,1.3,32.1,26,0.413,0.425,0.8,Jr
Carson Towt,Notre Dame,ACC,PF,6-8,250,6.3,9.3,1.7,0.7,0.4,1.2,25.8,26,0.617,0.0,0.354,Sr
Cole Certa,Notre Dame,ACC,SG,6-5,205,11.9,1.8,0.8,0.3,0.0,0.5,25.2,26,0.386,0.384,0.905,So
Garrett Sundra,Notre Dame,ACC,PF,6-11,230,3.8,3.3,0.5,0.2,0.3,0.4,18.7,26,0.457,0.333,0.667,So
Jalen Haralson,Notre Dame,ACC,PF,6-7,220,15.5,3.7,2.6,0.5,0.3,2.9,26.6,24,0.509,0.208,0.641,Fr
Kebba Njie,Notre Dame,ACC,PF,6-10,255,2.5,3.4,0.2,0.1,0.2,0.6,11.5,17,0.632,0.0,0.72,Sr
Logan Imes,Notre Dame,ACC,SG,6-4,205,4.1,3.1,1.7,0.7,0.0,1.1,19.9,26,0.357,0.288,0.471,Jr
Markus Burton,Notre Dame,ACC,PG,6-0,190,18.5,2.8,3.7,1.6,0.1,2.6,30.1,10,0.489,0.306,0.917,Jr
Sir Mohammed,Notre Dame,ACC,SG,6-6,215,5.5,2.8,1.5,0.5,0.2,1.4,16.0,26,0.393,0.278,0.571,So
Amare Bynum,Ohio State,Big Ten,PF,6-8,220,9.4,4.6,1.0,0.6,0.8,1.1,27.4,25,0.489,0.281,0.727,Fr
Brandon Noel,Ohio State,Big Ten,PF,6-8,240,7.4,4.1,1.0,0.3,0.2,1.1,20.6,14,0.643,0.214,0.733,Sr
Bruce Thornton,Ohio State,Big Ten,PG,6-2,215,19.6,5.3,3.7,1.3,0.2,1.4,36.2,25,0.549,0.389,0.825,Sr
Christoph Tilly,Ohio State,Big Ten,C,7-0,240,11.8,4.7,2.3,0.5,0.6,1.6,26.5,24,0.456,0.235,0.76,Sr
Colin White,Ohio State,Big Ten,SF,6-6,205,0.8,1.0,0.4,0.3,0.1,0.1,8.5,23,0.375,0.0,0.333,So
Devin Royal,Ohio State,Big Ten,SF,6-6,220,13.6,5.6,1.7,0.6,0.1,1.9,32.4,24,0.479,0.295,0.811,Jr
Gabe Cupps,Ohio State,Big Ten,PG,6-2,180,1.8,1.3,1.3,0.5,0.0,0.7,13.1,24,0.375,0.235,0.824,So
Ivan Njegovan,Ohio State,Big Ten,C,7-1,250,2.9,3.3,0.7,0.1,0.4,0.7,11.1,21,0.535,0.5,0.609,So
John Mobley Jr.,Ohio State,Big Ten,PG,6-1,175,15.1,2.5,2.8,0.8,0.1,1.7,31.0,24,0.422,0.4,0.878,So
Josh Ojianwuna,Ohio State,Big Ten,PF,6-10,230,7.4,6.4,0.6,0.9,0.8,0.8,24.6,23,0.774,0.0,0.645,Sr
Puff Johnson,Ohio State,Big Ten,SG,6-8,210,3.0,1.2,0.0,0.2,0.0,0.4,10.6,5,0.571,0.75,0.8,Sr
Taison Chatman,Ohio State,Big Ten,SG,6-4,175,4.0,1.0,0.7,0.3,0.1,0.6,10.2,20,0.52,0.533,0.786,So
Dayton Forsythe,Oklahoma,SEC,PG,6-2,190,4.9,1.6,1.7,0.6,0.1,1.0,15.7,19,0.351,0.333,0.829,So
Derrion Reid,Oklahoma,SEC,PF,6-8,226,11.5,4.4,1.2,0.5,0.2,1.1,27.3,25,0.492,0.328,0.731,So
Jadon Jones,Oklahoma,SEC,SG,6-5,180,5.5,2.6,0.7,1.1,0.7,0.4,18.5,21,0.337,0.316,0.744,Sr
Jeff Nwankwo,Oklahoma,SEC,SG,6-6,210,3.0,2.4,0.7,0.5,0.0,0.4,11.8,23,0.299,0.235,0.5,Sr
Kirill Elatontsev,Oklahoma,SEC,C,6-11,240,5.1,2.8,0.8,0.8,0.4,0.4,16.4,13,0.575,0.45,0.688,Sr
Kuol Atak,Oklahoma,SEC,PF,6-9,192,7.3,1.3,0.2,0.2,0.5,0.5,12.7,19,0.485,0.438,0.714,Fr
Mohamed Wague,Oklahoma,SEC,PF,6-10,225,6.4,6.6,1.2,0.5,1.3,1.2,21.2,25,0.602,0.25,0.6,Sr
Nijel Pack,Oklahoma,SEC,PG,5-10,188,16.0,3.4,3.2,0.7,0.3,1.7,29.9,25,0.457,0.432,0.886,Sr
Tae Davis,Oklahoma,SEC,PF,6-9,215,13.0,5.9,2.4,0.6,0.2,1.4,28.7,25,0.51,0.158,0.694,Sr
Xzayvier Brown,Oklahoma,SEC,PG,6-2,182,16.1,3.2,3.1,1.3,0.2,1.9,31.9,25,0.471,0.346,0.908,Jr
Andrija Vukovic,Oklahoma State,Big 12,PF,6-11,270,4.8,3.0,0.7,0.5,0.4,0.7,15.1,21,0.656,0.5,0.714,So
Anthony Roy,Oklahoma State,Big 12,SG,6-5,205,17.6,3.9,1.2,0.6,0.3,1.5,28.7,22,0.443,0.423,0.84,Sr
Benjamin Ahmed,Oklahoma State,Big 12,C,6-10,275,3.1,2.9,0.2,0.0,0.5,0.8,8.7,11,0.522,0.0,0.476,Fr
Christian Coleman,Oklahoma State,Big 12,SG,6-8,210,9.5,4.4,1.0,0.9,0.8,1.0,23.0,24,0.524,0.324,0.638,Sr
Daniel Guetta,Oklahoma State,Big 12,PG,6-2,180,1.1,0.5,0.5,0.1,0.0,1.0,8.1,8,0.4,0.0,0.5,Fr
Isaiah Coleman,Oklahoma State,Big 12,SG,6-5,200,6.5,3.8,0.8,0.8,0.3,1.5,19.7,24,0.492,0.05,0.6,Jr
Jaylen Curry,Oklahoma State,Big 12,PG,6-1,175,10.2,3.2,4.3,1.6,0.1,1.5,24.3,23,0.423,0.286,0.768,Jr
Kanye Clary,Oklahoma State,Big 12,PG,6-0,190,9.3,2.8,5.1,1.4,0.0,2.0,25.6,24,0.38,0.311,0.797,Jr
Lefteris Mantzoukas,Oklahoma State,Big 12,PF,6-9,230,4.4,4.2,0.5,0.2,0.3,1.0,17.8,12,0.375,0.242,0.6,Fr
Parsa Fallah,Oklahoma State,Big 12,PF,6-10,250,14.3,6.2,0.7,1.1,0.4,1.3,25.7,23,0.61,0.409,0.683,Sr
Ryan Crotty,Oklahoma State,Big 12,SG,6-6,215,3.2,1.9,0.4,0.1,0.1,0.2,10.6,18,0.349,0.343,0.75,Fr
Vyctorius Miller,Oklahoma State,Big 12,SG,6-5,190,12.2,2.9,1.8,0.9,0.3,1.8,26.4,23,0.448,0.396,0.83,So
AJ Storr,Ole Miss,SEC,SG,6-5,205,14.6,3.4,1.9,0.9,0.1,1.3,25.4,25,0.441,0.388,0.75,Sr
Augusto Cassiá,Ole Miss,SEC,PF,6-8,225,2.5,1.7,0.6,0.4,0.2,0.4,11.2,25,0.471,0.267,0.786,Jr
Corey Chest,Ole Miss,SEC,PF,6-8,220,3.0,4.2,0.7,0.4,0.8,0.6,14.0,25,0.596,1.0,0.522,So
Eduardo Klafke,Ole Miss,SEC,SG,6-5,200,4.2,2.2,1.1,0.6,0.2,0.5,13.3,25,0.48,0.333,0.733,So
Ilias Kamardine,Ole Miss,SEC,SG,6-4,180,10.6,3.3,3.8,1.2,0.3,2.0,29.7,25,0.416,0.3,0.727,Sr
James Scott,Ole Miss,SEC,PF,6-10,225,3.3,3.9,0.6,0.4,1.1,0.4,16.6,25,0.698,0.0,0.529,Jr
Kezza Giffa,Ole Miss,SEC,PG,6-1,175,6.6,1.3,1.4,0.7,0.1,1.0,16.0,23,0.446,0.381,0.824,Sr
Koren Johnson,Ole Miss,SEC,PG,6-1,180,2.1,0.8,1.2,0.5,0.2,0.6,9.0,20,0.283,0.24,0.667,Jr
Malik Dia,Ole Miss,SEC,PF,6-9,250,13.2,6.1,0.8,0.6,0.9,1.5,23.5,25,0.424,0.25,0.706,Sr
Patton Pinkins,Ole Miss,SEC,SG,6-5,200,8.6,1.8,0.7,0.2,0.1,0.2,22.6,25,0.463,0.44,0.846,Fr
Travis Perry,Ole Miss,SEC,PG,6-1,185,5.0,1.3,0.8,0.8,0.2,0.4,15.0,25,0.342,0.347,0.875,So
Devon Pryor,Oregon,Big Ten,PF,6-7,185,2.9,2.5,1.2,0.5,0.2,0.6,18.1,16,0.425,0.222,0.474,Jr
Dezdrick Lindsay,Oregon,Big Ten,SF,6-6,200,5.4,3.0,1.5,0.8,0.1,0.9,20.6,25,0.419,0.375,0.583,Sr
Drew Carter,Oregon,Big Ten,SG,6-3,200,2.1,0.9,0.4,0.1,0.0,0.8,11.1,19,0.382,0.379,1.0,Sr
Ege Demir,Oregon,Big Ten,C,6-11,200,2.2,3.5,0.3,0.4,0.5,0.7,8.8,19,0.444,0.0,0.286,Jr
Jackson Shelstad,Oregon,Big Ten,PG,6-1,170,15.6,2.9,4.9,1.4,0.1,1.8,34.8,12,0.391,0.314,0.846,Jr
Jamari Phillips,Oregon,Big Ten,SG,6-4,190,3.1,0.7,0.5,0.2,0.1,0.6,11.2,19,0.357,0.326,1.0,So
Kwame Evans Jr.,Oregon,Big Ten,PF,6-10,220,12.5,7.1,2.1,1.0,1.3,2.0,30.1,23,0.46,0.278,0.769,Jr
Nate Bittle,Oregon,Big Ten,C,7-0,220,16.9,6.7,2.4,0.6,2.1,2.0,29.0,18,0.458,0.346,0.741,Sr
Oleksandr Kobzystyi,Oregon,Big Ten,PF,6-8,200,2.6,1.4,0.3,0.1,0.1,0.1,9.9,16,0.4,0.4,0.75,Sr
Sean Stewart,Oregon,Big Ten,PF,6-9,220,7.0,5.5,1.0,0.9,0.5,1.3,23.1,25,0.504,1.0,0.549,Jr
Takai Simpkins,Oregon,Big Ten,SG,6-4,184,13.0,2.9,2.1,1.0,0.2,2.2,31.4,24,0.444,0.373,0.817,Sr
Wei Lin,Oregon,Big Ten,SG,6-4,200,6.8,1.0,1.7,0.3,0.0,1.1,18.1,24,0.336,0.289,0.837,So
Dominick Stewart,Penn State,Big Ten,SG,6-5,195,6.9,2.2,1.4,0.7,0.2,0.7,20.9,26,0.417,0.368,0.735,So
Eli Rice,Penn State,Big Ten,SG,6-8,230,8.0,1.6,0.2,0.6,0.2,0.6,20.6,24,0.435,0.441,0.8,So
Freddie Dilione V,Penn State,Big Ten,SG,6-5,195,14.4,3.4,2.4,1.3,0.2,1.4,27.3,26,0.471,0.29,0.836,Jr
Ivan Juric,Penn State,Big Ten,PF,7-0,250,9.2,5.2,0.7,0.4,0.2,1.6,26.0,24,0.531,0.295,0.663,Fr
Josh Reed,Penn State,Big Ten,PF,6-8,230,10.8,4.0,0.9,1.1,0.1,1.1,27.4,26,0.5,0.338,0.852,Sr
Kayden Mingo,Penn State,Big Ten,SG,6-3,195,13.9,3.4,4.2,2.2,0.1,1.9,31.5,23,0.458,0.237,0.738,Fr
Mason Blackwood,Penn State,Big Ten,PF,6-7,230,2.8,1.8,0.3,0.3,0.0,0.2,11.4,20,0.5,0.182,1.0,Fr
Melih Tunca,Penn State,Big Ten,SG,6-5,195,8.2,2.3,2.4,0.7,0.2,1.3,23.5,26,0.448,0.327,0.746,Fr
Saša Ciani,Penn State,Big Ten,PF,6-10,240,2.4,2.1,0.3,0.1,0.2,0.5,10.9,22,0.388,0.25,0.684,Jr
Tibor Mirtic,Penn State,Big Ten,PF,6-9,255,3.7,3.3,0.7,0.5,0.1,0.7,14.1,15,0.532,0.333,0.308,Fr
Barry Dunning Jr.,Pittsburgh,ACC,SG,6-6,195,11.6,5.6,0.8,0.7,0.8,1.1,29.8,26,0.454,0.315,0.754,Sr
Brandin Cummings,Pittsburgh,ACC,SG,6-3,175,12.5,1.5,2.1,0.7,0.1,1.2,26.2,19,0.424,0.326,0.718,So
Cameron Corhen,Pittsburgh,ACC,PF,6-10,235,12.4,7.2,1.8,0.9,0.5,2.2,33.6,26,0.525,0.375,0.628,Sr
Damarco Minor,Pittsburgh,ACC,PG,6-0,190,9.1,3.8,3.4,1.4,0.3,1.5,31.2,26,0.4,0.359,0.911,Sr
Dishon Jackson,Pittsburgh,ACC,C,6-11,270,8.5,5.1,0.6,0.5,1.1,1.1,18.7,35,0.58,0.0,0.72,Sr
Nojus Indrusaitis,Pittsburgh,ACC,SG,6-5,200,7.7,3.0,1.6,0.9,0.1,1.3,22.7,26,0.358,0.353,0.556,So
Omari Witherspoon,Pittsburgh,ACC,SG,6-4,190,7.3,2.7,2.3,0.7,0.7,2.2,26.2,26,0.372,0.282,0.625,Fr
Papa Amadou Kante,Pittsburgh,ACC,PF,6-10,235,2.8,5.4,0.9,0.3,0.1,0.4,14.1,8,0.45,0.0,0.444,So
Roman Siulepa,Pittsburgh,ACC,SF,6-6,220,10.3,5.3,1.0,1.0,0.6,0.9,26.4,26,0.47,0.304,0.493,Fr
Cole Hargrove,Providence,Big East,PF,6-8,245,2.2,2.9,0.5,0.3,0.6,0.5,12.5,22,0.531,0.0,0.7,Sr
Corey Floyd Jr.,Providence,Big East,SG,6-4,208,8.2,4.3,2.6,0.6,0.2,1.6,26.8,22,0.441,0.38,0.786,Sr
Duncan Powell,Providence,Big East,PF,6-8,240,4.9,3.1,0.8,0.3,0.3,0.7,17.8,20,0.365,0.306,0.615,Sr
Jamier Jones,Providence,Big East,SF,6-6,218,12.1,4.4,1.5,0.8,0.2,1.6,24.0,24,0.599,0.462,0.677,Fr
Jason Edwards,Providence,Big East,PG,6-1,180,17.3,2.9,3.1,0.9,0.1,1.6,27.1,18,0.437,0.365,0.779,Sr
Jaylen Harrell,Providence,Big East,SG,6-5,210,3.7,0.7,0.3,0.2,0.0,0.0,9.0,6,0.5,0.273,1.0,Fr
Jaylin Sellers,Providence,Big East,SG,6-5,205,17.2,4.1,1.7,0.9,0.2,1.7,28.7,26,0.461,0.407,0.878,Sr
Nilavan Daniels,Providence,Big East,SG,6-3,180,1.8,1.1,0.4,0.3,0.1,0.1,9.0,13,0.429,0.462,0.714,So
Oswin Erhunmwunse,Providence,Big East,PF,6-10,235,7.5,8.2,0.7,0.3,2.4,1.3,24.6,26,0.694,0.0,0.574,So
Rich Barron,Providence,Big East,SF,6-5,225,5.2,2.3,0.6,0.6,0.0,0.5,19.0,27,0.35,0.337,0.545,Jr
Ryan Mela,Providence,Big East,SG,6-7,205,8.8,5.2,1.9,0.8,0.1,1.6,23.8,26,0.494,0.237,0.823,So
Stefan Vaaks,Providence,Big East,SG,6-7,206,15.8,2.5,3.3,0.9,0.3,1.8,31.2,26,0.398,0.327,0.84,Fr
Braden Smith,Purdue,Big Ten,PG,6-0,170,14.7,4.0,8.9,1.8,0.2,3.0,33.8,25,0.482,0.415,0.768,Sr
C.J. Cox,Purdue,Big Ten,SG,6-3,195,8.4,2.5,1.3,0.6,0.0,0.3,24.1,25,0.44,0.358,0.821,So
Daniel Jacobsen,Purdue,Big Ten,C,7-4,250,7.1,3.9,0.4,0.1,1.6,0.7,15.5,25,0.654,0.375,0.65,So
Fletcher Loyer,Purdue,Big Ten,SG,6-5,180,13.5,2.2,1.8,0.6,0.0,1.1,28.2,25,0.415,0.388,0.881,Sr
Gicarri Harris,Purdue,Big Ten,SG,6-3,210,5.3,1.7,1.0,1.0,0.0,0.3,16.8,25,0.396,0.338,0.867,So
Jack Benter,Purdue,Big Ten,SG,6-6,215,5.1,3.0,0.8,0.3,0.1,0.5,14.8,24,0.512,0.441,0.533,Fr
Liam Murphy,Purdue,Big Ten,PF,6-8,225,2.8,0.9,0.2,0.1,0.0,0.0,8.3,9,0.391,0.368,0.0,Sr
Omer Mayer,Purdue,Big Ten,SG,6-4,215,5.5,1.3,1.3,0.5,0.0,1.0,14.7,25,0.408,0.347,0.647,Fr
Oscar Cluff,Purdue,Big Ten,C,6-11,255,10.5,7.4,1.6,0.3,0.7,0.6,23.4,25,0.728,0.0,0.696,Sr
Trey Kaufman-Renn,Purdue,Big Ten,PF,6-9,240,12.4,9.0,2.7,0.5,0.2,1.6,27.5,23,0.567,0.182,0.627,Sr
Bryce Dortch,Rutgers,Big Ten,PF,6-9,210,2.4,3.4,0.1,0.6,0.8,0.5,15.5,25,0.667,0.0,0.522,So
Chris Nwuli,Rutgers,Big Ten,PF,6-8,205,1.9,1.6,0.4,0.2,0.3,0.8,10.0,24,0.359,0.5,0.682,Fr
Darren Buchanan Jr.,Rutgers,Big Ten,SG,6-7,235,8.2,3.3,1.5,0.7,0.2,1.3,23.0,25,0.474,0.4,0.573,Jr
Denis Badalau,Rutgers,Big Ten,PF,6-8,200,3.4,1.8,0.8,0.3,0.2,0.6,13.0,21,0.321,0.227,0.632,Fr
Dylan Grant,Rutgers,Big Ten,PF,6-8,220,10.6,4.6,0.4,0.5,0.3,1.1,24.4,25,0.445,0.333,0.725,So
Emmanuel Ogbole,Rutgers,Big Ten,C,6-10,260,4.2,6.6,0.4,0.2,1.2,1.1,18.2,25,0.547,0.0,0.579,Sr
Harun Zrno,Rutgers,Big Ten,SG,6-7,220,7.0,1.8,0.6,0.4,0.0,1.2,19.4,25,0.357,0.35,0.742,Fr
Jamichael Davis,Rutgers,Big Ten,PG,6-2,180,7.2,2.9,2.5,1.0,0.3,1.0,27.1,25,0.373,0.355,0.745,Jr
Kaden Powers,Rutgers,Big Ten,SG,6-4,195,6.9,1.8,1.5,0.5,0.2,1.1,15.5,20,0.359,0.318,0.813,Fr
Lino Mark,Rutgers,Big Ten,PG,6-2,185,3.4,1.5,0.8,0.8,0.1,0.8,13.0,24,0.279,0.08,0.821,Fr
Tariq Francis,Rutgers,Big Ten,PG,6-1,180,16.6,2.3,2.5,0.9,0.0,1.2,26.8,25,0.431,0.327,0.897,Jr
B.J. Edwards,SMU,ACC,SG,6-3,200,13.2,6.1,5.0,2.4,0.2,2.0,34.0,25,0.474,0.363,0.771,Sr
Boopie Miller,SMU,ACC,PG,6-0,175,18.9,3.6,6.8,1.8,0.1,2.5,34.8,24,0.464,0.414,0.869,Sr
Corey Washington,SMU,ACC,SF,6-6,190,11.3,4.9,0.8,0.9,0.6,1.1,27.0,25,0.503,0.42,0.793,Sr
Jaden Toombs,SMU,ACC,C,6-10,230,8.1,3.8,0.8,0.3,0.6,0.7,18.1,18,0.555,0.278,0.655,Fr
Jaron Pierre Jr.,SMU,ACC,SG,6-5,210,17.4,4.9,1.8,0.8,0.3,1.6,32.1,25,0.464,0.368,0.781,Sr
Jermaine O'Neal Jr.,SMU,ACC,SF,6-5,185,4.6,2.2,0.5,0.3,0.3,0.4,14.0,25,0.464,0.405,0.875,Fr
Sam Walters,SMU,ACC,PF,6-9,230,2.6,1.0,0.3,0.1,0.1,0.5,9.5,17,0.395,0.344,0.0,Jr
Samet Yigitoglu,SMU,ACC,C,7-2,270,10.7,8.0,1.7,0.5,1.4,1.9,28.3,25,0.614,0.0,0.538,So
AJ Staton-McCray,Seton Hall,Big East,SG,6-4,200,12.0,3.3,1.4,1.5,0.6,1.3,26.8,26,0.42,0.342,0.875,Sr
Adam Clark,Seton Hall,Big East,PG,5-10,165,12.5,2.9,4.8,2.1,0.0,2.3,29.8,26,0.449,0.281,0.72,Jr
Elijah Fisher,Seton Hall,Big East,SG,6-6,220,6.8,3.0,0.7,1.0,0.4,0.9,21.2,26,0.432,0.194,0.683,Sr
Jacob Dar,Seton Hall,Big East,SG,6-7,190,2.3,1.5,0.4,0.2,0.3,0.3,9.2,25,0.44,0.167,0.857,Sr
Josh Rivera,Seton Hall,Big East,SF,6-6,225,3.4,2.1,0.5,0.4,0.0,0.5,12.1,23,0.478,0.4,0.524,Sr
Mike Williams,Seton Hall,Big East,SG,6-3,185,7.2,2.5,1.5,1.1,0.0,1.0,20.4,26,0.368,0.338,0.74,Jr
Najai Hines,Seton Hall,Big East,PF,6-10,265,6.0,5.3,0.6,0.3,2.2,0.6,16.6,24,0.574,0.0,0.667,Fr
Patrick Suemnick,Seton Hall,Big East,PF,6-8,235,2.9,1.9,0.3,0.4,0.2,0.5,11.7,34,0.52,0.0,0.44,Sr
Stephon Payne,Seton Hall,Big East,PF,6-9,235,6.7,7.2,0.6,0.9,1.5,0.7,21.4,26,0.535,0.0,0.521,Sr
Tajuan Simpkins,Seton Hall,Big East,SG,6-4,190,10.7,2.9,1.3,1.1,0.4,1.0,25.8,26,0.434,0.405,0.793,Jr
Trey Parker,Seton Hall,Big East,PG,6-0,180,4.4,2.7,1.5,0.9,0.3,1.3,16.0,26,0.357,0.205,0.818,So
Cam Scott,South Carolina,SEC,SG,6-6,172,2.5,1.3,0.4,0.0,0.0,0.6,10.1,26,0.278,0.178,0.737,So
EJ Walker,South Carolina,SEC,PF,6-7,253,3.1,2.3,0.1,0.2,0.2,0.6,14.1,15,0.563,0.308,0.545,Fr
Eli Ellis,South Carolina,SEC,PG,6-0,192,9.5,2.9,1.9,0.9,0.0,1.0,27.5,21,0.4,0.277,0.86,Fr
Elijah Strong,South Carolina,SEC,PF,6-8,250,10.5,2.6,1.2,0.4,0.2,1.0,17.6,25,0.45,0.28,0.778,Jr
Grant Polk,South Carolina,SEC,SG,6-6,197,4.3,1.4,0.2,0.3,0.0,0.2,14.8,23,0.374,0.319,0.889,Fr
Hayden Assemian,South Carolina,SEC,SF,6-6,230,2.5,2.4,0.3,0.2,0.4,0.5,10.1,23,0.694,0.0,0.583,Fr
Jordan Butler,South Carolina,SEC,PF,7-0,237,3.2,2.1,0.2,0.2,0.2,0.2,9.3,19,0.514,0.2,0.778,Jr
Kobe Knox,South Carolina,SEC,SG,6-5,200,10.5,3.7,2.3,1.0,0.2,1.3,29.7,25,0.491,0.283,0.787,Sr
Meechie Johnson,South Carolina,SEC,PG,6-2,192,16.7,3.2,4.2,1.3,0.2,2.1,31.4,25,0.421,0.331,0.809,Sr
Mike Sharavjamts,South Carolina,SEC,SG,6-9,195,10.9,5.5,2.6,0.8,1.0,1.5,30.2,25,0.485,0.313,0.901,Sr
Myles Stute,South Carolina,SEC,SG,6-7,221,6.6,4.3,0.9,0.7,0.2,1.2,25.0,22,0.366,0.317,0.64,Sr
Bryce Hopkins,St. John's,Big East,PF,6-7,225,13.6,5.8,2.2,1.1,0.3,1.2,27.6,25,0.451,0.288,0.722,Sr
Dillon Mitchell,St. John's,Big East,PF,6-8,210,9.2,7.1,2.8,1.4,0.7,1.0,26.7,25,0.558,0.0,0.559,Sr
Dylan Darling,St. John's,Big East,PG,6-1,175,7.1,2.3,2.1,1.3,0.1,0.9,19.4,23,0.467,0.364,0.71,Jr
Ian Jackson,St. John's,Big East,SG,6-5,195,10.5,2.3,1.3,0.8,0.2,1.5,19.6,25,0.428,0.358,0.902,So
Joson Sanon,St. John's,Big East,SG,6-5,200,8.2,2.6,0.6,0.6,0.2,1.2,20.8,25,0.36,0.357,0.79,So
Lefteris Liotopoulos,St. John's,Big East,SG,6-4,195,3.4,1.0,0.4,0.2,0.0,0.5,8.0,21,0.382,0.357,0.737,So
Oziyah Sellers,St. John's,Big East,SG,6-5,190,10.9,3.1,2.0,0.6,0.3,0.8,30.0,25,0.435,0.356,0.84,Sr
Ruben Prey,St. John's,Big East,PF,6-11,230,3.6,1.8,0.8,0.6,0.8,0.5,10.0,25,0.475,0.538,0.706,So
Sadiku Ibine Ayo,St. John's,Big East,SF,6-6,215,2.3,1.1,0.5,0.6,0.1,0.3,9.1,20,0.432,0.353,1.0,Sr
Zuby Ejiofor,St. John's,Big East,PF,6-9,245,16.2,7.4,3.5,1.2,1.9,2.4,30.1,25,0.54,0.324,0.7,Sr
AJ Rohosy,Stanford,ACC,PF,6-9,230,7.1,5.3,0.6,0.4,0.5,1.0,19.1,26,0.557,0.0,0.322,Sr
Aidan Cammann,Stanford,ACC,PF,6-10,230,5.7,3.9,1.3,1.1,0.4,1.1,20.6,26,0.505,0.3,0.696,So
Benny Gealer,Stanford,ACC,PG,6-1,185,10.5,2.4,1.8,1.5,0.0,0.8,28.1,26,0.43,0.419,0.891,Sr
Cameron Grant,Stanford,ACC,PF,6-7,220,2.4,1.4,0.4,0.1,0.2,0.3,11.4,18,0.246,0.245,1.0,So
Chisom Okpara,Stanford,ACC,PF,6-8,240,13.9,3.9,2.2,1.1,0.4,2.6,28.5,17,0.393,0.304,0.73,Sr
